# Label: C
# Hands: Left (first) + Right (second)
# Timestamp: 2025-11-12 15:51:08
# Samples per hand: 50
# Normalization: Min-Max on X and Y axes
# Order: First 50 samples of Left hand, then 50 samples of Right hand
sample,hand_type,landmark_id,landmark_name,x_norm,y_norm,z_norm
1,Left,0,WRIST,0.0,1.0,0.32932621422188924
1,Left,1,THUMB_CMC,0.3318648022431626,0.9226578904968555,0.5735149799572523
1,Left,2,THUMB_MCP,0.608154684021538,0.7636637691571514,0.668671837520658
1,Left,3,THUMB_IP,0.8276600415750999,0.6435401209540739,0.6548839370885102
1,Left,4,THUMB_TIP,1.0,0.5355016671024817,0.6294741490535062
1,Left,5,INDEX_FINGER_MCP,0.36267396780295735,0.3427803941352506,0.96827338725691
1,Left,6,INDEX_FINGER_PIP,0.5090590634928146,0.12861209206173957,1.0
1,Left,7,INDEX_FINGER_DIP,0.6758094104105018,0.07240850746124108,0.9414787475459973
1,Left,8,INDEX_FINGER_TIP,0.8270708867557226,0.07593077320626905,0.883011986266137
1,Left,9,MIDDLE_FINGER_MCP,0.2754033296394807,0.3029386258004249,0.736495246098771
1,Left,10,MIDDLE_FINGER_PIP,0.44910571718147674,0.03968205753990789,0.7168379973989879
1,Left,11,MIDDLE_FINGER_DIP,0.6594264220874045,0.0,0.5481315527650267
1,Left,12,MIDDLE_FINGER_TIP,0.8322716258196996,0.039898820482073036,0.4359548011817371
1,Left,13,RING_FINGER_MCP,0.17589442037510028,0.28776610028323574,0.47865275358625997
1,Left,14,RING_FINGER_PIP,0.3519038380485894,0.03258522824820854,0.41241596375434025
1,Left,15,RING_FINGER_DIP,0.5879557386953254,0.007635919257124695,0.24964082784570685
1,Left,16,RING_FINGER_TIP,0.7738598760670263,0.05388997916011844,0.15058786834542132
1,Left,17,PINKY_MCP,0.08560647869468713,0.3002008270800482,0.22612775576012203
1,Left,18,PINKY_PIP,0.27180092922218907,0.08091808174480962,0.1534531240808726
1,Left,19,PINKY_DIP,0.46680704773873494,0.03678164259118879,0.06476475681453307
1,Left,20,PINKY_TIP,0.6329558597451131,0.049414731251810395,0.0
2,Left,0,WRIST,0.0,1.0,0.3464396076258081
2,Left,1,THUMB_CMC,0.335674977462996,0.9206595439748545,0.5989223106442229
2,Left,2,THUMB_MCP,0.6080744640647164,0.7589855945952575,0.6937651546881898
2,Left,3,THUMB_IP,0.8259779857397261,0.6336590989526208,0.6790574491447718
2,Left,4,THUMB_TIP,1.0,0.524358484681774,0.6527897983902919
2,Left,5,INDEX_FINGER_MCP,0.35491033428545743,0.3439212415769906,0.9719315364674719
