# Label: I
# Hands: Left (first) + Right (second)
# Timestamp: 2025-11-12 21:30:08
# Samples per hand: 50
# Normalization: Min-Max on X and Y axes
# Order: First 50 samples of Left hand, then 50 samples of Right hand
sample,hand_type,landmark_id,landmark_name,x_norm,y_norm,z_norm
1,Left,0,WRIST,0.1969030653165714,1.0,0.8317578483991983
1,Left,1,THUMB_CMC,0.5629170263061938,0.9397662513702847,0.666842698950996
1,Left,2,THUMB_MCP,0.8881789739743533,0.7721410025518362,0.5464310631790427
1,Left,3,THUMB_IP,1.0,0.6052978158234423,0.36261430253804505
1,Left,4,THUMB_TIP,0.8673300625461686,0.4934765014196703,0.23389554847939795
1,Left,5,INDEX_FINGER_MCP,0.6717777900957065,0.573464333930534,1.0
1,Left,6,INDEX_FINGER_PIP,0.8137753534082892,0.5088107495494489,0.7327499046169609
1,Left,7,INDEX_FINGER_DIP,0.858731519807418,0.6264878629919519,0.6266894972989778
1,Left,8,INDEX_FINGER_TIP,0.8446749405439974,0.7411374481918945,0.5957395603970128
1,Left,9,MIDDLE_FINGER_MCP,0.48826528746086384,0.5257713313437732,0.8593469079938396
1,Left,10,MIDDLE_FINGER_PIP,0.6300256677982821,0.4369952787834631,0.4236081604861072
1,Left,11,MIDDLE_FINGER_DIP,0.6624411143301127,0.61139606034663,0.15647699690638128
1,Left,12,MIDDLE_FINGER_TIP,0.6336544919024073,0.7496468949125894,0.09025078632486852
1,Left,13,RING_FINGER_MCP,0.2838605092608828,0.4941388219456975,0.6563887206733884
1,Left,14,RING_FINGER_PIP,0.4071200519162989,0.3525536213793573,0.3060417637262372
1,Left,15,RING_FINGER_DIP,0.510264668296404,0.48001539801674914,0.12858828687562843
1,Left,16,RING_FINGER_TIP,0.5380220523604985,0.6090004494986055,0.1024739867697841
1,Left,17,PINKY_MCP,0.06009043873571293,0.4846491470830222,0.4155114627089222
1,Left,18,PINKY_PIP,0.0243225673379058,0.26253509417876697,0.2500697676072985
1,Left,19,PINKY_DIP,0.0097399622392637,0.11839197681628698,0.09871765661594165
1,Left,20,PINKY_TIP,0.0,0.0,0.0
2,Left,0,WRIST,0.17672018432561934,1.0,0.7266739034662236
2,Left,1,THUMB_CMC,0.548819823710312,0.9487717897673915,0.5544974901874103
2,Left,2,THUMB_MCP,0.889522124043807,0.7806043671875521,0.46811327132701847
2,Left,3,THUMB_IP,1.0,0.6031922055791058,0.3185956413442452
2,Left,4,THUMB_TIP,0.8457983366469672,0.4871995348065765,0.22772656511696412
2,Left,5,INDEX_FINGER_MCP,0.6490305068761916,0.5821027574002965,1.0
2,Left,6,INDEX_FINGER_PIP,0.8032323628450279,0.5053478814760559,0.7559994930974044
2,Left,7,INDEX_FINGER_DIP,0.817193541515062,0.6207594525743069,0.6516046066723785
2,Left,8,INDEX_FINGER_TIP,0.7782807190424992,0.7274151612120281,0.6161903446625583
2,Left,9,MIDDLE_FINGER_MCP,0.4701012119001125,0.5315831594020711,0.879130492178338
2,Left,10,MIDDLE_FINGER_PIP,0.6120997010217498,0.43960817727225854,0.45136122689152125
2,Left,11,MIDDLE_FINGER_DIP,0.6194959552607421,0.6157928932529309,0.15438501951801684
2,Left,12,MIDDLE_FINGER_TIP,0.5810030352398318,0.7473295489968581,0.0722808714956288
2,Left,13,RING_FINGER_MCP,0.2711618315605617,0.4936462122456758,0.6886800838447158
2,Left,14,RING_FINGER_PIP,0.4065896177770518,0.3463141537765401,0.3186835499950864
2,Left,15,RING_FINGER_DIP,0.5121819864930094,0.4730552079980018,0.08344073635065107
2,Left,16,RING_FINGER_TIP,0.5376710283873319,0.6021383840645373,0.031402406765751234
2,Left,17,PINKY_MCP,0.05140617241194665,0.4780380788891821,0.4612996148800318
2,Left,18,PINKY_PIP,0.015188719185805295,0.2611011015406983,0.3040260631191179
2,Left,19,PINKY_DIP,0.008289028488262571,0.11729540056863073,0.12157895948541703
2,Left,20,PINKY_TIP,0.0,0.0,0.0
3,Left,0,WRIST,0.18338026936614188,1.0,0.6911559643018981
3,Left,1,THUMB_CMC,0.5632275978196155,0.9413638416822122,0.5798689678337505
3,Left,2,THUMB_MCP,0.8926280136128687,0.7707425750668174,0.5064607812210098
3,Left,3,THUMB_IP,1.0,0.5983439985817426,0.35840945442580624
3,Left,4,THUMB_TIP,0.8674153724878995,0.47653591919523514,0.2681083484578007
3,Left,5,INDEX_FINGER_MCP,0.6508428959811187,0.5743532005843579,1.0
3,Left,6,INDEX_FINGER_PIP,0.801441642376499,0.4999722696061098,0.7896467042188469
3,Left,7,INDEX_FINGER_DIP,0.830311682467143,0.619491549603263,0.7075623626079667
3,Left,8,INDEX_FINGER_TIP,0.8115364863424512,0.7327862377741823,0.6815444353516791
3,Left,9,MIDDLE_FINGER_MCP,0.47167713098936026,0.526360223907703,0.850335901123135
3,Left,10,MIDDLE_FINGER_PIP,0.6162945306284163,0.4318382109439843,0.447630240604206
3,Left,11,MIDDLE_FINGER_DIP,0.6407202554698267,0.6080821755760308,0.16461605992894698
3,Left,12,MIDDLE_FINGER_TIP,0.61414421337098,0.7477604901836008,0.08766919319354448
